Time, DR, DN, RN, Euclidian
0.000, 1.611, 0.829, 1.318, 2.240
10.000, 1.608, 0.914, 1.294, 2.257
20.000, 1.484, 0.852, 1.259, 2.124
30.000, 1.58, 0.935, 1.239, 2.214
40.000, 1.587, 0.912, 1.317, 2.254
50.000, 1.584, 0.916, 1.27, 2.227
60.000, 1.559, 0.94, 1.262, 2.215
70.000, 1.507, 0.944, 1.23, 2.162
80.000, 1.542, 0.95, 1.264, 2.208
90.000, 1.481, 0.96, 1.223, 2.147
100.000, 1.503, 0.96, 1.212, 2.156
110.000, 1.478, 0.974, 1.157, 2.114
120.000, 1.582, 0.945, 1.228, 2.214
130.000, 1.515, 0.944, 1.193, 2.147
140.000, 1.547, 0.956, 1.249, 2.206
150.000, 1.609, 0.924, 1.248, 2.236
160.000, 1.533, 0.916, 1.239, 2.173
170.000, 1.502, 0.891, 1.23, 2.136
180.000, 1.569, 0.92, 1.292, 2.231
190.000, 1.533, 0.883, 1.287, 2.187
200.000, 1.573, 0.921, 1.241, 2.205
210.000, 1.619, 0.86, 1.299, 2.246
220.000, 1.606, 0.888, 1.291, 2.243
230.000, 1.62, 0.89, 1.306, 2.263
240.000, 1.593, 0.901, 1.311, 2.251
250.000, 1.577, 0.883, 1.326, 2.241
260.000, 1.589, 0.897, 1.306, 2.243
270.000, 1.531, 0.845, 1.265, 2.158
280.000, 1.593, 0.899, 1.336, 2.265
290.000, 1.56, 0.875, 1.313, 2.218
300.000, 1.533, 0.916, 1.325, 2.223
310.000, 1.558, 0.91, 1.308, 2.228
320.000, 1.526, 0.909, 1.278, 2.188
330.000, 1.5, 0.912, 1.222, 2.138
340.000, 1.557, 0.903, 1.246, 2.189
350.000, 1.557, 0.855, 1.241, 2.166
360.000, 1.515, 0.922, 1.266, 2.179
370.000, 1.554, 0.911, 1.32, 2.233
380.000, 1.532, 0.934, 1.291, 2.210
390.000, 1.502, 0.941, 1.329, 2.215
400.000, 1.568, 0.902, 1.338, 2.249
410.000, 1.597, 0.926, 1.342, 2.282
420.000, 1.587, 0.89, 1.33, 2.253
430.000, 1.565, 0.882, 1.292, 2.212
440.000, 1.625, 0.872, 1.352, 2.286
450.000, 1.584, 0.923, 1.352, 2.277
460.000, 1.589, 0.88, 1.298, 2.232
470.000, 1.669, 0.899, 1.349, 2.326
480.000, 1.636, 0.911, 1.363, 2.316
490.000, 1.721, 0.919, 1.309, 2.349
500.000, 1.677, 0.868, 1.344, 2.317
510.000, 1.697, 0.912, 1.326, 2.338
520.000, 1.712, 0.918, 1.321, 2.349
530.000, 1.676, 0.875, 1.365, 2.331
540.000, 1.708, 0.905, 1.318, 2.339
550.000, 1.645, 0.896, 1.287, 2.272
560.000, 1.647, 0.895, 1.379, 2.327
570.000, 1.736, 0.933, 1.361, 2.395
580.000, 1.689, 0.89, 1.313, 2.317
590.000, 1.673, 0.903, 1.329, 2.319
600.000, 1.684, 0.882, 1.308, 2.307
610.000, 1.651, 0.949, 1.363, 2.341
620.000, 1.655, 0.917, 1.328, 2.311
630.000, 1.621, 0.892, 1.297, 2.259
640.000, 1.691, 0.92, 1.286, 2.315
650.000, 1.693, 0.899, 1.399, 2.373
660.000, 1.635, 0.888, 1.35, 2.298
670.000, 1.65, 0.935, 1.394, 2.353
680.000, 1.613, 0.873, 1.352, 2.278
690.000, 1.627, 0.905, 1.354, 2.302
700.000, 1.616, 0.875, 1.327, 2.266
710.000, 1.602, 0.899, 1.327, 2.266
720.000, 1.632, 0.914, 1.299, 2.277
730.000, 1.622, 0.877, 1.338, 2.278
740.000, 1.569, 0.902, 1.308, 2.232
750.000, 1.593, 0.895, 1.311, 2.248
760.000, 1.615, 0.915, 1.336, 2.286
770.000, 1.635, 0.926, 1.342, 2.309
780.000, 1.664, 0.945, 1.365, 2.350
790.000, 1.628, 0.876, 1.361, 2.295
800.000, 1.581, 0.919, 1.284, 2.234
810.000, 1.615, 0.926, 1.272, 2.254
820.000, 1.58, 0.96, 1.351, 2.289
830.000, 1.588, 0.896, 1.309, 2.244
840.000, 1.659, 0.87, 1.349, 2.308
850.000, 1.647, 0.887, 1.354, 2.309
